"","site","sr.all","sr.patch","sr.v","sr.w","sr.u","treatment","productivity","bareness","slope","patch","area.meter.sq.","latitude","longitude","elevation","scat.count","scat.herb","connectivity.distance","connectivity.animal","connectivity.hydro","sr.matrix"
"1","222",11,10,4,2,4,"c",10,60,30,"1",711.8530273,38.8623,-122.3622833,471.3,1,0,4175.228576,4,5219.686127,1
"2","222",7,4,2,1,1,"e",47.5,5,30,"2",711.8530273,38.8623,-122.3622833,471.3,1,0,4175.228576,4,5219.686127,3
"3","222",10,8,3,2,3,"ec",8,60,30,"1",711.8530273,38.8623,-122.3622833,471.3,1,0,4175.228576,4,5219.686127,2
"4","222",8,5,3,1,1,"m",36,10,30,"4",711.8530273,38.8623,-122.3622833,471.3,1,0,4175.228576,4,5219.686127,3
"5","222",11,9,2,2,5,"nec",2.5,90,30,"1",711.8530273,38.8623,-122.3622833,471.3,1,0,4175.228576,4,5219.686127,2
"6","223",9,7,2,1,4,"c",1,90,25,"1",2953.340088,38.86201667,-122.3621,470.8,2,2,654.7215232,7,0,2
"7","223",11,8,2,3,3,"e",42.75,5,25,"2",2953.340088,38.86201667,-122.3621,470.8,2,2,654.7215232,7,0,3
"8","223",12,11,2,3,6,"ec",3,80,25,"1",2953.340088,38.86201667,-122.3621,470.8,2,2,654.7215232,7,0,1
"9","223",8,4,2,2,0,"m",30,40,25,"4",2953.340088,38.86201667,-122.3621,470.8,2,2,654.7215232,7,0,4
"10","223",9,8,1,1,6,"nec",2.25,85,25,"1",2953.340088,38.86201667,-122.3621,470.8,2,2,654.7215232,7,0,1
"16","225",11,7,3,2,2,"c",1,90,5,"1",654.7440186,38.86321667,-122.3622667,501.3,10,9,456.8756399,7,1311.522034,4
"17","225",7,3,1,2,0,"e",35,0,5,"2",654.7440186,38.86321667,-122.3622667,501.3,10,9,456.8756399,7,1311.522034,4
"18","225",9,6,2,2,2,"ec",2,80,5,"1",654.7440186,38.86321667,-122.3622667,501.3,10,9,456.8756399,7,1311.522034,3
"19","225",8,3,1,1,1,"m",47.5,5,5,"4",654.7440186,38.86321667,-122.3622667,501.3,10,9,456.8756399,7,1311.522034,5
"20","225",13,9,3,2,4,"nec",6,70,5,"1",654.7440186,38.86321667,-122.3622667,501.3,10,9,456.8756399,7,1311.522034,4
"21","226",13,8,3,1,4,"c",2.25,85,20,"1",382.8900146,38.86356667,-122.3626167,512.2,2,2,614.1188741,2,928.632019,5
"22","226",8,3,2,0,1,"e",33.25,5,20,"2",382.8900146,38.86356667,-122.3626167,512.2,2,2,614.1188741,2,928.632019,5
"23","226",12,7,3,1,3,"ec",1.25,75,20,"1",382.8900146,38.86356667,-122.3626167,512.2,2,2,614.1188741,2,928.632019,5
"24","226",5,0,0,0,0,"m",28.5,5,20,"4",382.8900146,38.86356667,-122.3626167,512.2,2,2,614.1188741,2,928.632019,5
"25","226",9,7,3,2,2,"nec",1.75,65,20,"1",382.8900146,38.86356667,-122.3626167,512.2,2,2,614.1188741,2,928.632019,2
"26","227",13,12,2,4,6,"c",1,90,45,"1",928.632019,38.86385,-122.36295,526.2,3,3,356.9238705,3,0,1
"27","227",5,1,0,0,0,"e",36,10,45,"2",928.632019,38.86385,-122.36295,526.2,3,3,356.9238705,3,0,4
"28","227",12,9,2,2,5,"ec",1,90,45,"1",928.632019,38.86385,-122.36295,526.2,3,3,356.9238705,3,0,3
"29","227",9,3,1,0,1,"m",47.5,5,45,"4",928.632019,38.86385,-122.36295,526.2,3,3,356.9238705,3,0,6
"30","227",10,9,2,2,5,"nec",0.25,95,45,"1",928.632019,38.86385,-122.36295,526.2,3,3,356.9238705,3,0,1
"31","228",5,4,0,1,3,"c",0.25,95,30,"1",548.2490234,38.86353333,-122.3630167,515.3,2,2,647.4992815,3,928.632019,1
"32","228",11,7,3,2,2,"e",45,10,30,"2",548.2490234,38.86353333,-122.3630167,515.3,2,2,647.4992815,3,928.632019,4
"33","228",5,4,0,0,4,"ec",0.25,95,30,"1",548.2490234,38.86353333,-122.3630167,515.3,2,2,647.4992815,3,928.632019,1
"34","228",6,2,0,0,2,"m",36,10,30,"4",548.2490234,38.86353333,-122.3630167,515.3,2,2,647.4992815,3,928.632019,4
"35","228",7,5,0,0,5,"nec",0.5,95,30,"1",548.2490234,38.86353333,-122.3630167,515.3,2,2,647.4992815,3,928.632019,2
"36","231",6,5,1,1,3,"c",0.75,95,50,"1",2092.449951,38.86358333,-122.3638,516.6,2,2,503.2963178,8,1422.874023,1
"37","231",7,4,2,0,1,"e",10,80,50,"2",2092.449951,38.86358333,-122.3638,516.6,2,2,503.2963178,8,1422.874023,3
"38","231",5,3,1,0,2,"ec",1,95,50,"1",2092.449951,38.86358333,-122.3638,516.6,2,2,503.2963178,8,1422.874023,2
"39","231",7,2,0,0,2,"m",26,60,50,"4",2092.449951,38.86358333,-122.3638,516.6,2,2,503.2963178,8,1422.874023,5
"40","231",8,6,1,0,5,"nec",0.75,95,50,"1",2092.449951,38.86358333,-122.3638,516.6,2,2,503.2963178,8,1422.874023,2
"41","232",14,12,5,1,6,"c",6,70,15,"1",752.9190063,38.86383333,-122.3638833,528.9,4,4,1702.872174,4,669.9550171,2
"42","232",8,7,2,2,3,"e",34,15,15,"2",752.9190063,38.86383333,-122.3638833,528.9,4,4,1702.872174,4,669.9550171,1
"43","232",9,7,2,1,4,"ec",21,30,15,"1",752.9190063,38.86383333,-122.3638833,528.9,4,4,1702.872174,4,669.9550171,2
"44","232",11,7,3,0,4,"m",27.5,50,15,"4",752.9190063,38.86383333,-122.3638833,528.9,4,4,1702.872174,4,669.9550171,4
"45","232",6,5,2,0,3,"nec",1.5,85,15,"1",752.9190063,38.86383333,-122.3638833,528.9,4,4,1702.872174,4,669.9550171,1
"46","233",5,4,0,0,4,"c",13,35,20,"1",669.9550171,38.8642,-122.3639167,541.3,1,1,586.3116637,1,0,1
"47","233",6,0,0,0,0,"e",76,5,20,"2",669.9550171,38.8642,-122.3639167,541.3,1,1,586.3116637,1,0,6
"48","233",6,3,1,0,2,"ec",2.5,75,20,"1",669.9550171,38.8642,-122.3639167,541.3,1,1,586.3116637,1,0,3
"49","233",4,1,0,0,1,"m",85,0,20,"4",669.9550171,38.8642,-122.3639167,541.3,1,1,586.3116637,1,0,3
"50","233",5,4,1,0,3,"nec",12.5,50,20,"1",669.9550171,38.8642,-122.3639167,541.3,1,1,586.3116637,1,0,1
"51","234",12,8,5,1,2,"c",4,60,40,"1",220.2480011,38.86413333,-122.3643667,537.4,9,8,26.1158582,2,200.9865051,4
"52","234",8,4,3,1,0,"e",42.75,5,40,"2",220.2480011,38.86413333,-122.3643667,537.4,9,8,26.1158582,2,200.9865051,4
"53","234",11,7,5,2,0,"ec",12,40,40,"1",220.2480011,38.86413333,-122.3643667,537.4,9,8,26.1158582,2,200.9865051,4
"54","234",7,3,0,1,2,"m",45,0,40,"4",220.2480011,38.86413333,-122.3643667,537.4,9,8,26.1158582,2,200.9865051,4
"55","234",12,9,6,1,2,"nec",10,50,40,"1",220.2480011,38.86413333,-122.3643667,537.4,9,8,26.1158582,2,200.9865051,3
"56","235",7,4,3,1,0,"c",6,60,10,"1",46.0894012,38.8637,-122.36475,522.7,6,5,1562.611434,2,0,3
"57","235",7,2,0,2,0,"e",50,0,10,"2",46.0894012,38.8637,-122.36475,522.7,6,5,1562.611434,2,0,5
"58","235",11,5,4,1,0,"ec",3,70,10,"1",46.0894012,38.8637,-122.36475,522.7,6,5,1562.611434,2,0,6
"59","235",8,3,1,2,0,"m",52.25,5,10,"4",46.0894012,38.8637,-122.36475,522.7,6,5,1562.611434,2,0,5
"60","235",9,5,3,1,1,"nec",1,80,10,"1",46.0894012,38.8637,-122.36475,522.7,6,5,1562.611434,2,0,4
"61","236",9,7,4,1,2,"c",1.75,65,30,"1",1062.26001,38.86336667,-122.3646167,511.7,13,13,860.574956,2,303.569406,2
"62","236",4,2,0,1,1,"e",45,0,30,"2",1062.26001,38.86336667,-122.3646167,511.7,13,13,860.574956,2,303.569406,2
"63","236",6,3,1,1,1,"ec",0.75,95,30,"1",1062.26001,38.86336667,-122.3646167,511.7,13,13,860.574956,2,303.569406,3
"64","236",3,1,0,0,1,"m",65,0,30,"4",1062.26001,38.86336667,-122.3646167,511.7,13,13,860.574956,2,303.569406,2
"65","236",10,6,3,1,2,"nec",10,50,30,"1",1062.26001,38.86336667,-122.3646167,511.7,13,13,860.574956,2,303.569406,4
"66","237",10,6,2,2,2,"c",0.75,95,35,"1",74.6660995,38.8632,-122.3648,508.3,4,4,1009.908314,3,386.2200072,4
"67","237",10,4,0,2,2,"e",34,15,35,"2",74.6660995,38.8632,-122.3648,508.3,4,4,1009.908314,3,386.2200072,6
"68","237",13,9,4,2,3,"ec",2.25,85,35,"1",74.6660995,38.8632,-122.3648,508.3,4,4,1009.908314,3,386.2200072,4
"69","237",4,1,0,0,1,"m",60,0,35,"4",74.6660995,38.8632,-122.3648,508.3,4,4,1009.908314,3,386.2200072,3
"70","237",9,7,3,2,2,"nec",3.75,85,35,"1",74.6660995,38.8632,-122.3648,508.3,4,4,1009.908314,3,386.2200072,2
"71","238",14,12,5,3,3,"c",1.5,70,10,"1",31.6154003,38.86283333,-122.3651333,504.7,4,4,607.5714611,4,0,2
"72","238",6,2,2,0,0,"e",76,5,10,"2",31.6154003,38.86283333,-122.3651333,504.7,4,4,607.5714611,4,0,4
"73","238",12,8,5,2,1,"ec",5,50,10,"1",31.6154003,38.86283333,-122.3651333,504.7,4,4,607.5714611,4,0,4
"74","238",13,8,3,3,2,"m",75,0,10,"4",31.6154003,38.86283333,-122.3651333,504.7,4,4,607.5714611,4,0,5
"75","238",14,10,4,3,3,"nec",3,40,10,"1",31.6154003,38.86283333,-122.3651333,504.7,4,4,607.5714611,4,0,4
"81","240",9,8,4,1,3,"c",1,80,30,"1",106.6419983,38.86298333,-122.3630833,495.5,3,3,1415.963411,7,1260.576111,1
"82","240",8,3,0,0,3,"e",35.75,35,30,"2",106.6419983,38.86298333,-122.3630833,495.5,3,3,1415.963411,7,1260.576111,5
"83","240",10,8,2,3,3,"ec",1.75,65,30,"1",106.6419983,38.86298333,-122.3630833,495.5,3,3,1415.963411,7,1260.576111,2
"84","240",8,4,2,1,1,"m",55.25,15,30,"4",106.6419983,38.86298333,-122.3630833,495.5,3,3,1415.963411,7,1260.576111,4
"85","240",8,7,2,1,4,"nec",0.75,85,30,"1",106.6419983,38.86298333,-122.3630833,495.5,3,3,1415.963411,7,1260.576111,1
"86","241",8,7,2,0,5,"c",1,95,20,"1",245.6519928,38.86311667,-122.36315,499.7,5,5,308.8907869,6,1014.924118,1
"87","241",10,6,2,2,2,"e",38.25,15,20,"2",245.6519928,38.86311667,-122.36315,499.7,5,5,308.8907869,6,1014.924118,4
"88","241",7,5,1,1,3,"ec",0.25,95,20,"1",245.6519928,38.86311667,-122.36315,499.7,5,5,308.8907869,6,1014.924118,2
"89","241",7,3,1,1,1,"m",38,5,20,"4",245.6519928,38.86311667,-122.36315,499.7,5,5,308.8907869,6,1014.924118,4
"90","241",7,5,1,0,4,"nec",6,80,20,"1",245.6519928,38.86311667,-122.36315,499.7,5,5,308.8907869,6,1014.924118,2
"91","242",9,6,2,1,3,"c",6,80,45,"1",86.292099,38.86331667,-122.3632167,506.5,9,9,316.1596648,3,928.632019,3
"92","242",4,2,0,0,2,"e",38,5,45,"2",86.292099,38.86331667,-122.3632167,506.5,9,9,316.1596648,3,928.632019,2
"93","242",8,5,1,1,3,"ec",1.5,90,45,"1",86.292099,38.86331667,-122.3632167,506.5,9,9,316.1596648,3,928.632019,3
"94","242",5,3,1,0,2,"m",38,5,45,"4",86.292099,38.86331667,-122.3632167,506.5,9,9,316.1596648,3,928.632019,2
"95","242",9,6,1,0,5,"nec",5,80,45,"1",86.292099,38.86331667,-122.3632167,506.5,9,9,316.1596648,3,928.632019,3
"96","243",3,1,0,0,1,"c",0.75,95,40,"1",239.595993,38.86318333,-122.36335,499.2,12,12,163.6850764,6,1014.924118,2
"97","243",5,4,1,0,3,"e",45,0,40,"2",239.595993,38.86318333,-122.36335,499.2,12,12,163.6850764,6,1014.924118,1
"98","243",7,5,1,0,4,"ec",1.5,85,40,"1",239.595993,38.86318333,-122.36335,499.2,12,12,163.6850764,6,1014.924118,2
"99","243",3,2,0,0,2,"m",42.75,5,40,"4",239.595993,38.86318333,-122.36335,499.2,12,12,163.6850764,6,1014.924118,1
"100","243",8,5,1,0,4,"nec",1.5,90,40,"1",239.595993,38.86318333,-122.36335,499.2,12,12,163.6850764,6,1014.924118,3
"101","244",5,5,1,1,3,"c",0.5,95,40,"1",4533.169922,38.8624,-122.3632667,476,4,4,328.3798216,4,0,0
"102","244",9,5,3,0,2,"e",19.25,45,40,"2",4533.169922,38.8624,-122.3632667,476,4,4,328.3798216,4,0,4
"103","244",7,7,2,1,4,"ec",2,80,40,"1",4533.169922,38.8624,-122.3632667,476,4,4,328.3798216,4,0,0
"104","244",4,1,0,0,1,"m",35,0,40,"4",4533.169922,38.8624,-122.3632667,476,4,4,328.3798216,4,0,3
"105","244",7,6,3,1,2,"nec",1.5,85,40,"1",4533.169922,38.8624,-122.3632667,476,4,4,328.3798216,4,0,1
"106","245",13,11,6,0,5,"c",9,40,25,"1",167.5720062,38.86258333,-122.3638167,473.6,3,2,103.5712135,2,6173.107597,2
"107","245",14,7,4,0,3,"e",61.75,5,25,"2",167.5720062,38.86258333,-122.3638167,473.6,3,2,103.5712135,2,6173.107597,7
"108","245",14,10,6,0,4,"ec",13.5,10,25,"1",167.5720062,38.86258333,-122.3638167,473.6,3,2,103.5712135,2,6173.107597,4
"109","245",11,6,1,1,4,"m",36,10,25,"4",167.5720062,38.86258333,-122.3638167,473.6,3,2,103.5712135,2,6173.107597,5
"110","245",14,11,2,3,6,"nec",17.5,30,25,"1",167.5720062,38.86258333,-122.3638167,473.6,3,2,103.5712135,2,6173.107597,3
"111","249",9,7,3,1,3,"c",1.5,85,20,"1",372.5929871,38.86253333,-122.3644333,486.8,17,17,788.8496476,9,730.2604198,2
"112","249",8,2,0,0,2,"e",33.25,5,20,"2",372.5929871,38.86253333,-122.3644333,486.8,17,17,788.8496476,9,730.2604198,6
"113","249",7,5,1,1,3,"ec",0.5,95,20,"1",372.5929871,38.86253333,-122.3644333,486.8,17,17,788.8496476,9,730.2604198,2
"114","249",7,2,1,0,1,"m",56,20,20,"4",372.5929871,38.86253333,-122.3644333,486.8,17,17,788.8496476,9,730.2604198,5
"115","249",7,5,2,1,2,"nec",2,80,20,"1",372.5929871,38.86253333,-122.3644333,486.8,17,17,788.8496476,9,730.2604198,2
"116","250",6,4,1,1,2,"c",0.5,90,5,"1",1204.479981,38.8622,-122.3650167,489.3,5,5,247.6323832,6,795.9499187,2
"117","250",10,6,2,1,3,"e",33.25,5,5,"2",1204.479981,38.8622,-122.3650167,489.3,5,5,247.6323832,6,795.9499187,4
"118","250",6,4,0,1,3,"ec",0.25,95,5,"1",1204.479981,38.8622,-122.3650167,489.3,5,5,247.6323832,6,795.9499187,2
"119","250",5,1,0,0,1,"m",55,0,5,"4",1204.479981,38.8622,-122.3650167,489.3,5,5,247.6323832,6,795.9499187,4
"120","250",8,7,1,1,5,"nec",0.5,95,5,"1",1204.479981,38.8622,-122.3650167,489.3,5,5,247.6323832,6,795.9499187,1
"121","251",15,10,4,2,4,"c",8.5,15,10,"1",65.6894989,38.86258333,-122.3649333,499.4,2,2,390.6434705,0,730.2604198,5
"122","251",13,7,4,1,2,"e",47.5,5,10,"2",65.6894989,38.86258333,-122.3649333,499.4,2,2,390.6434705,0,730.2604198,6
"123","251",13,8,2,1,5,"ec",21.25,15,10,"1",65.6894989,38.86258333,-122.3649333,499.4,2,2,390.6434705,0,730.2604198,5
"124","251",6,2,0,1,1,"m",45,0,10,"4",65.6894989,38.86258333,-122.3649333,499.4,2,2,390.6434705,0,730.2604198,4
"125","251",14,10,4,2,4,"nec",7,30,10,"1",65.6894989,38.86258333,-122.3649333,499.4,2,2,390.6434705,0,730.2604198,4
"126","252",13,9,3,2,4,"c",27,10,0,"1",698.6450195,38.86275,-122.365,502.2,15,15,619.0037133,6,31.6154003,4
"127","252",10,5,1,0,4,"e",50,0,0,"2",698.6450195,38.86275,-122.365,502.2,15,15,619.0037133,6,31.6154003,5
"128","252",14,10,3,2,5,"ec",27,10,0,"1",698.6450195,38.86275,-122.365,502.2,15,15,619.0037133,6,31.6154003,4
"129","252",8,3,1,1,1,"m",80,0,0,"4",698.6450195,38.86275,-122.365,502.2,15,15,619.0037133,6,31.6154003,5
"130","252",16,10,3,2,5,"nec",45,0,0,"1",698.6450195,38.86275,-122.365,502.2,15,15,619.0037133,6,31.6154003,6
"131","253",15,9,3,3,3,"c",17,15,0,"1",2945.729981,38.86326667,-122.36575,509,18,16,785.5779504,3,2361.882468,6
"132","253",8,3,1,1,1,"e",27,10,0,"2",2945.729981,38.86326667,-122.36575,509,18,16,785.5779504,3,2361.882468,5
"133","253",15,11,4,3,4,"ec",9,40,0,"1",2945.729981,38.86326667,-122.36575,509,18,16,785.5779504,3,2361.882468,4
"134","253",6,2,1,1,0,"m",50,0,0,"4",2945.729981,38.86326667,-122.36575,509,18,16,785.5779504,3,2361.882468,4
"135","253",13,8,3,1,4,"nec",13.5,10,0,"1",2945.729981,38.86326667,-122.36575,509,18,16,785.5779504,3,2361.882468,5
"136","254",12,8,3,1,3,"c",25.5,15,15,"1",463.6530151,38.86378333,-122.3659667,520.2,6,6,1699.219396,0,0,4
"137","254",6,2,0,1,1,"e",65,0,15,"2",463.6530151,38.86378333,-122.3659667,520.2,6,6,1699.219396,0,0,4
"138","254",10,6,2,2,2,"ec",18,10,15,"1",463.6530151,38.86378333,-122.3659667,520.2,6,6,1699.219396,0,0,4
"139","254",3,0,0,0,0,"m",70,0,15,"4",463.6530151,38.86378333,-122.3659667,520.2,6,6,1699.219396,0,0,3
"140","254",11,7,4,1,2,"nec",3,70,15,"1",463.6530151,38.86378333,-122.3659667,520.2,6,6,1699.219396,0,0,4
"141","255",17,11,5,1,5,"c",27,10,25,"1",1465.920044,38.86425,-122.3652167,528.1,7,7,1186.183588,0,0,6
"142","255",11,6,2,2,2,"e",40.5,10,25,"2",1465.920044,38.86425,-122.3652167,528.1,7,7,1186.183588,0,0,5
"143","255",12,8,5,0,2,"ec",11.25,25,25,"1",1465.920044,38.86425,-122.3652167,528.1,7,7,1186.183588,0,0,4
"144","255",12,5,2,3,0,"m",26.25,25,25,"4",1465.920044,38.86425,-122.3652167,528.1,7,7,1186.183588,0,0,7
"145","255",13,7,4,1,2,"nec",9,40,25,"1",1465.920044,38.86425,-122.3652167,528.1,7,7,1186.183588,0,0,6
"146","257",5,3,1,1,1,"c",0.5,90,20,"1",1287.400024,38.86366667,-122.365,517.9,11,10,1066.590139,5,46.0894012,2
"147","257",9,5,2,1,1,"e",40,0,20,"2",1287.400024,38.86366667,-122.365,517.9,11,10,1066.590139,5,46.0894012,4
"148","257",8,4,2,1,1,"ec",1,80,20,"1",1287.400024,38.86366667,-122.365,517.9,11,10,1066.590139,5,46.0894012,4
"149","257",6,2,0,1,1,"m",37.5,25,20,"4",1287.400024,38.86366667,-122.365,517.9,11,10,1066.590139,5,46.0894012,4
"150","257",10,7,4,2,1,"nec",2,80,20,"1",1287.400024,38.86366667,-122.365,517.9,11,10,1066.590139,5,46.0894012,3
